Model,N,Caption Good %,Caption Average %,Caption Poor %,Summary Good %,Summary Average %,Summary Poor %,Hallucination %,Cap CI lo,Cap CI hi,Sum CI lo,Sum CI hi,Hall CI lo,Hall CI hi
Gemini 3.5 Flash,222,88.29,8.56,0.9,87.39,10.36,0.9,9.01,83.39295242517419,91.88109198089333,82.3751396560255,91.1277507640169,5.907626514668996,13.504867121188122
Gemini 3.1 Flash Lite,206,82.04,15.53,0.49,83.5,13.11,0.97,4.85,76.22557349934227,86.67905971367388,77.82195784183594,87.94197688086275,2.6578672058047403,8.703785994036116
GPT-5.4 Nano,222,56.76,39.19,1.8,53.15,43.69,2.7,23.87,50.17959070247107,63.104064192717324,46.591247372915355,59.60779157817255,18.740538842097436,29.895995563174132
GPT-5.4 Mini,221,58.82,38.01,1.81,52.04,43.44,2.71,15.38,52.23806432305439,65.10749116504694,45.47122297985259,58.531597517401565,11.223043478438624,20.729008068240777
DeepSeek V4 Flash,222,56.76,34.23,6.76,49.55,43.69,5.41,30.18,50.17959070247107,63.104064192717324,43.036440708175014,56.077982298812415,24.52099710065012,36.51361520679729
Mistral Large 3,218,48.62,44.95,5.05,45.87,47.71,5.5,26.15,42.07057394759306,55.224791836649466,39.385567469021495,52.50052988370611,20.762537479707568,32.3571361138297
